ImageFile,Position,PositionCue,PositionCueX,PositionCueY,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,text.started,Fixation_Point.stopped,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",None,None,0,0,0,u,0,2.89670980000119,None,0,0,0,1,0.019684300001244992,,0.015747400000691414,0.019684300001244992,0.019684300001244992,1.0139293000011094,1.0640729000006104,1.1141566000005696,1.2140302000007068,1.4142164000004414,1.4306467000005796,2.936478100000386,u,0,2.89670980000119,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",-15,-22,1,1,0,u,0,2.1606927000011638,None,0,1,1,0,2.947327200001382,,2.938846900000499,2.947327200001382,2.947327200001382,3.947493100000429,3.9975962999997137,4.047406700001375,4.147434700000304,4.3475388000006205,4.3475388000006205,5.1156688000010035,u,0,2.1606927000011638,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",None,None,2,0,1,u,0,1.8125569000003452,None,1,0,2,1,5.130697800001144,,5.1189656000005925,5.130697800001144,5.130697800001144,6.13056350000079,6.180704000000333,6.230847700000595,6.3306766000005155,6.5306713999998465,6.5306713999998465,6.949577400000635,u,0,1.8125569000003452,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",-15,-22,3,1,1,u,0,1.749165000001085,None,1,1,3,0,6.964112800000294,,6.95240240000021,6.964112800000294,6.964112800000294,7.9641174000007595,8.013996400000906,8.06405690000065,8.164196400000947,8.364018399999622,8.364018399999622,8.716249099999914,u,0,1.749165000001085,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",-15,-22,4,0,2,u,0,1.6727627000000211,None,2,0,4,0,8.730571600000985,,8.718999000000622,8.730571600000985,8.730571600000985,9.730761099999654,9.780653600000733,9.830675100000008,9.93082239999967,10.130631600000925,10.130631600000925,10.415572300000349,u,0,1.6727627000000211,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",None,None,5,1,2,u,0,1.651321100000132,None,2,1,5,1,10.430693899999824,,10.419138500001281,10.430693899999824,10.430693899999824,11.430696100000205,11.480599399999846,11.530525100000887,11.630686100001185,11.830656899999667,11.830656899999667,12.099000800000795,u,0,1.651321100000132,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",None,None,6,0,3,u,0,1.3988263999999617,None,3,0,6,1,12.114017900001272,,12.102171700000326,12.114017900001272,12.114017900001272,13.114104600001156,13.16394980000041,13.21412650000093,13.314013500001238,13.514049700001124,13.514049700001124,13.515719900000477,u,0,1.3988263999999617,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",-15,-22,7,1,3,u,0,1.1743272999992769,None,3,1,7,0,13.530517900000632,,13.51899560000129,13.530517900000632,13.530517900000632,14.53060750000077,14.58062129999962,14.630663500000082,14.730558400000518,,,14.716460800000277,u,0,1.1743272999992769,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",-15,-22,8,0,4,u,0,1.2480733000011242,None,4,0,8,0,14.730558400000518,,14.719761399999697,14.730558400000518,14.730558400000518,15.73066960000142,15.780740800000785,15.830568800000037,15.930540800000017,,,15.982751700001245,u,0,1.2480733000011242,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",None,None,9,1,4,u,0,1.3342751000000135,None,4,1,9,1,15.997342200000276,,15.986093800000162,15.997342200000276,15.997342200000276,16.997291900001073,17.04722440000114,17.097299300001396,17.197268100000656,,,17.34870410000076,u,0,1.3342751000000135,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",None,None,10,0,5,u,0,1.0855023999993136,None,5,0,10,1,17.364089200000308,,17.352085700000316,17.364089200000308,17.364089200000308,18.36410700000124,18.41406100000131,18.464101100000335,,,,18.466089400000783,u,0,1.0855023999993136,None,102480,001,2024-09-12_15h39.59.220,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.869269463331186,2024-09-12 15h40.03.696224 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",-15,-22,11,1,5,,,,,5,1,11,0,18.480573800001366,,18.46914050000123,18.480573800001366,18.480573800001366,,,,,,,,,,,,,,,,,,,
