ImageFile,Position,PositionCue,Opacity,thisN,thisTrialN,thisRepN,Key_resp.keys,Key_resp.corr,Key_resp.rt,Key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Final_Psychophysics_Exp.started,Fixation_Point.started,Cue.started,Cue.stopped,Time.started,Fixation_Point.stopped,Gabor.started,Time.stopped,Text.started,Key_resp.started,Gabor.stopped,Final_Psychophysics_Exp.stopped,trials.Key_resp.keys,trials.Key_resp.corr,trials.Key_resp.rt,trials.Key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,0,0,0,u,0,19.244603542028926,None,0,0,0,0,0.2604072500253096,,0.21311662503285334,0.2604072500253096,1.0003370000049472,1.2107769580325112,1.2107769580325112,1.276185125054326,1.9443731250357814,1.959333791048266,2.715334166015964,2.715334166015964,3.152710416004993,21.963699790998362,u,0,19.244603542028926,None,359988,001,2024-10-11_16h50.29.557,6_9_2024_Invalid_Condition_Right,2024.2.1,60.30134075123722,2024-10-11 16h50.46.863157 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",0.5,1,1,0,,,,,0,1,1,1,21.997518875054084,,21.978653541009407,21.997518875054084,22.96646479103947,23.177607083052862,23.177607083052862,22.9972812080523,23.614415875053965,23.642584583023563,24.63418679102324,24.63418679102324,24.63418679102324,,,,,,,,,,,,,
