ImageFile,Position,PositionCue,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,text.started,Fixation_Point.stopped,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",0,0,0,u,0,2.6536426000093343,None,0,0,0,0,0.04279889998724684,,0.023677999997744337,0.04279889998724684,0.04279889998724684,1.013305999993463,1.0566967999911867,1.1145729999989271,1.2091090999892913,1.4271202999952948,1.4475612999958685,2.7015819999942323,u,0,2.6536426000093343,None,412101,001,2024-09-24_13h07.11.479,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-24 13h07.18.094465 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",1,1,0,u,0,2.63046659999236,None,0,1,1,1,2.7307869999931427,,2.7119980999996187,2.7307869999931427,2.7307869999931427,3.714647100001457,3.7590894999884767,3.8317351000005146,3.9098807999980636,4.106347299995832,4.147962799994275,5.365765700000338,u,0,2.63046659999236,None,412101,001,2024-09-24_13h07.11.479,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-24 13h07.18.094465 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",2,0,1,u,0,2.5278676000016276,None,1,0,2,0,5.391664700000547,,5.36793839999882,5.391664700000547,5.391664700000547,6.381048199997167,6.431105799987563,6.4814569000009215,6.573882199998479,6.7818222999922,6.808702299997094,7.930328499991447,u,0,2.5278676000016276,None,412101,001,2024-09-24_13h07.11.479,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-24 13h07.18.094465 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",3,1,1,u,0,4.968548200005898,None,1,1,3,1,7.959700099992915,,7.932780599992839,7.959700099992915,7.959700099992915,8.946625099997618,8.99340759999177,9.042374600001494,9.147589100000914,9.339719799987506,9.373656700001447,12.942940900000394,u,0,4.968548200005898,None,412101,001,2024-09-24_13h07.11.479,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-24 13h07.18.094465 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",4,0,2,s,0,4.505821600003401,None,2,0,4,0,12.964221099988208,,12.94564539998828,12.964221099988208,12.964221099988208,13.956147399992915,14.007463899994036,14.05686749999586,14.156825300000492,14.36455249998835,14.38971189998847,17.47671079999418,s,0,4.505821600003401,None,412101,001,2024-09-24_13h07.11.479,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-24 13h07.18.094465 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",5,1,2,s,0,2.77620890000253,None,2,1,5,1,17.49742429998878,,17.47938129999966,17.49742429998878,17.49742429998878,18.49147959999391,18.55851289999555,18.59205039999506,18.690126499990583,18.891111599994474,18.90709719998995,20.281329699995695,s,0,2.77620890000253,None,412101,001,2024-09-24_13h07.11.479,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-24 13h07.18.094465 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",6,0,3,s,0,2.717381499998737,None,3,0,6,0,20.30529829999432,,20.28304609999759,20.30529829999432,20.30529829999432,21.301462799994624,21.34973389998777,21.397842799997306,21.490090899998904,21.706057099989266,21.723684999989928,23.02506989998801,s,0,2.717381499998737,None,412101,001,2024-09-24_13h07.11.479,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-24 13h07.18.094465 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",7,1,3,s,0,2.924296900004265,None,3,1,7,1,23.04821290000109,,23.027159399993252,23.04821290000109,23.04821290000109,24.030554999990272,24.075330199993914,24.147714499995345,24.24204669999017,24.442448199988576,24.464164299992262,25.97573019999254,s,0,2.924296900004265,None,412101,001,2024-09-24_13h07.11.479,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-24 13h07.18.094465 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",8,0,4,,,,,4,0,8,0,25.997089500000584,,25.977532999997493,25.997089500000584,25.997089500000584,26.981150199993863,27.02610599999025,27.089500399990357,27.197262299989234,27.390291899995646,27.406483799990383,,,,,,,,,,,,,
