ImageFile,Position,PositionCue,Contrast,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,text.started,Fixation_Point.stopped,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",-1,0,0,0,u,0,2.637290699996811,None,0,0,0,1,0.04263429999991786,,0.030733100000361446,0.04263429999991786,0.04263429999991786,1.0106606999979704,1.0581147999982932,1.1091829999932088,1.2096351999934996,1.410063799994532,1.4423694999932195,2.6959130999966874,u,0,2.637290699996811,None,790338,001,2024-09-26_10h02.36.219,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.30551982273579,2024-09-26 10h02.41.312094 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,1,1,0,u,0,1.6658069000040996,None,0,1,1,0,2.70892659999663,,2.6975509999974747,2.70892659999663,2.70892659999663,3.7097224999961327,3.7588630999962334,3.810478299994429,3.911027299996931,4.1098920999938855,4.1098920999938855,4.377083199993649,u,0,1.6658069000040996,None,790338,001,2024-09-26_10h02.36.219,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.30551982273579,2024-09-26 10h02.41.312094 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",-1,2,0,1,u,0,1.8432353000025614,None,1,0,2,1,4.39128179999534,,4.379297499996028,4.39128179999534,4.39128179999534,5.3930412999980035,5.4440103999950225,5.492406799996388,5.591495699998632,5.79228460000013,5.79228460000013,6.244628899999952,u,0,1.8432353000025614,None,790338,001,2024-09-26_10h02.36.219,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.30551982273579,2024-09-26 10h02.41.312094 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,3,1,1,u,0,1.6597991000016918,None,1,1,3,0,6.258881999994628,,6.247308599995449,6.258881999994628,6.258881999994628,7.244619599994621,7.291691799997352,7.359613199994783,7.458074999995006,7.658056000000215,7.658056000000215,7.926818199994159,u,0,1.6597991000016918,None,790338,001,2024-09-26_10h02.36.219,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.30551982273579,2024-09-26 10h02.41.312094 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,4,0,2,u,0,1.5555957000033231,None,2,0,4,0,7.942155400000047,,7.92901339999662,7.942155400000047,7.942155400000047,8.92607219999627,8.977424099997734,9.0269868999967,9.142284499997913,9.326357399993867,9.344560799996543,9.512538099996164,u,0,1.5555957000033231,None,790338,001,2024-09-26_10h02.36.219,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.30551982273579,2024-09-26 10h02.41.312094 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",-1,5,1,2,,,,,2,1,5,1,9.537254099996062,,9.515623299994331,9.537254099996062,9.537254099996062,10.527670199997374,10.576374799995392,10.625935799995204,10.726412500000151,10.925850999999966,10.941073099995265,,,,,,,,,,,,,
