ImageFile,Position,PositionCue,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,Fixation_Point.stopped,text.started,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",0,0,0,u,0,3.307491500001561,None,0,0,0,1,0.014526299999488401,,0.011451799999122159,0.014526299999488401,0.014526299999488401,1.0154562999996415,1.0654264999993757,1.1153608999993594,1.2154245999990962,1.4154825000005076,1.4154825000005076,3.3379468000002817,u,0,3.307491500001561,None,269164,001,2024-09-12_15h43.02.169,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.03608168507672,2024-09-12 15h43.07.077138 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,1,0,u,0,1.7324136000006547,None,0,1,1,0,3.348719199999323,,3.340164100000038,3.348719199999323,3.348719199999323,4.348757699999624,4.398758499999531,4.448833599999489,4.548856900000828,4.748900399999911,4.748900399999911,5.083098400000381,u,0,1.7324136000006547,None,269164,001,2024-09-12_15h43.02.169,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.03608168507672,2024-09-12 15h43.07.077138 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",2,0,1,u,0,1.4623233000002074,None,1,0,2,0,5.098678700000164,,5.085131899999396,5.098678700000164,5.098678700000164,6.098659999999654,6.1490584000002855,6.1822073000003,6.282008500000302,6.498882100000628,6.498882100000628,6.567168499999752,u,0,1.4623233000002074,None,269164,001,2024-09-12_15h43.02.169,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.03608168507672,2024-09-12 15h43.07.077138 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",3,1,1,u,0,1.412848899999517,None,1,1,3,1,6.58195650000016,,6.5697624000004,6.58195650000016,6.58195650000016,7.58199009999953,7.632209900000817,7.682047099999181,7.782071699999506,7.982356500000606,7.982356500000606,8.001104900000428,u,0,1.412848899999517,None,269164,001,2024-09-12_15h43.02.169,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.03608168507672,2024-09-12 15h43.07.077138 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",4,0,2,u,0,1.3277849000005517,None,2,0,4,0,8.015461499999219,,8.004498300000705,8.015461499999219,8.015461499999219,9.015396799999507,9.065498699999807,9.115556500000821,9.21552630000042,,,9.350548200000048,u,0,1.3277849000005517,None,269164,001,2024-09-12_15h43.02.169,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.03608168507672,2024-09-12 15h43.07.077138 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",5,1,2,u,0,1.612536500000715,None,2,1,5,1,9.365291699999943,,9.352770400000736,9.365291699999943,9.365291699999943,10.365368799999487,10.415354900000239,10.465459999999439,10.565370899999834,10.765334100000473,10.765334100000473,10.983508499999516,u,0,1.612536500000715,None,269164,001,2024-09-12_15h43.02.169,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.03608168507672,2024-09-12 15h43.07.077138 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",6,0,3,u,0,1.538904700000785,None,3,0,6,1,10.998716300000524,,10.986258499999167,10.998716300000524,10.998716300000524,11.99872409999989,12.048608299999614,12.098667599999317,12.198720599999433,12.398771800000759,12.398771800000759,12.550624899999093,u,0,1.538904700000785,None,269164,001,2024-09-12_15h43.02.169,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.03608168507672,2024-09-12 15h43.07.077138 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",7,1,3,u,0,1.4913776000012149,None,3,1,7,0,12.56537340000068,,12.553365699999631,12.56537340000068,12.56537340000068,13.565499300000738,13.615530600000056,13.665498700000171,13.765290999999706,13.965514999999868,13.965514999999868,14.067645400000401,u,0,1.4913776000012149,None,269164,001,2024-09-12_15h43.02.169,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.03608168507672,2024-09-12 15h43.07.077138 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",8,0,4,u,0,1.6467300999993313,None,4,0,8,1,14.081938400000581,,14.070793999999296,14.081938400000581,14.081938400000581,15.082174999999552,15.131968899999265,15.182034499999645,15.281913400000121,15.481952099999035,15.481952099999035,15.733771100000013,u,0,1.6467300999993313,None,269164,001,2024-09-12_15h43.02.169,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.03608168507672,2024-09-12 15h43.07.077138 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",9,1,4,u,0,1.3359411000001273,None,4,1,9,0,15.74869740000031,,15.736868800000593,15.74869740000031,15.74869740000031,16.748711399999593,16.798692700000174,16.848599799999647,16.948808900000586,,,17.10076130000016,u,0,1.3359411000001273,None,269164,001,2024-09-12_15h43.02.169,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.03608168507672,2024-09-12 15h43.07.077138 -0400,
