ImageFile,Position,PositionCue,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,text.started,Fixation_Point.stopped,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",0,0,0,u,0,2.724771499999406,None,0,0,0,1,0.05389470000045549,,0.03109539999968547,0.05389470000045549,0.05389470000045549,1.0149237000005087,1.085961099999622,1.1200171999989834,1.2152492999994138,1.4150233000000298,1.4870847000001959,2.812544700000217,u,0,2.724771499999406,None,367450,001,2024-09-12_15h48.29.461,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-12 15h48.37.843416 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",1,1,0,u,0,2.6681126999992557,None,0,1,1,0,2.8369180999998207,,2.815236399999776,2.8369180999998207,2.8369180999998207,3.8358619999999064,3.9026606999996147,3.935688499999742,4.031956700000592,4.233129700000063,4.267511500000182,5.539560400000482,u,0,2.6681126999992557,None,367450,001,2024-09-12_15h48.29.461,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-12 15h48.37.843416 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",2,0,1,u,0,2.432337300000654,None,1,0,2,0,5.568673100000524,,5.542471599999772,5.568673100000524,5.568673100000524,6.572771299999658,6.638492800000677,6.677854300000035,6.773479999999836,6.972642200000337,7.005896999999095,8.00693709999905,u,0,2.432337300000654,None,367450,001,2024-09-12_15h48.29.461,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-12 15h48.37.843416 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",3,1,1,u,0,2.6192406000009214,None,1,1,3,1,8.034650899999178,,8.00932660000035,8.034650899999178,8.034650899999178,9.034995699999854,9.101735899999767,9.13827879999917,9.234742999999071,9.434568099999524,9.471279100000174,10.671459099999993,u,0,2.6192406000009214,None,367450,001,2024-09-12_15h48.29.461,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-12 15h48.37.843416 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",4,0,2,u,0,1.8551002000003791,None,2,0,4,1,10.704147599999487,,10.673319400000764,10.704147599999487,10.704147599999487,11.701722399999198,11.768422699999064,11.804500099999132,11.902605299999777,12.101563300000635,12.136793699999544,12.5710239,u,0,1.8551002000003791,None,367450,001,2024-09-12_15h48.29.461,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-12 15h48.37.843416 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",5,1,2,u,0,1.676575799998318,None,2,1,5,0,12.602577899999233,,12.572730599998977,12.602577899999233,12.602577899999233,13.60484870000073,13.652473899999677,13.715451399999438,13.817154799999116,14.017055500000424,14.049580499999138,14.287338399999499,u,0,1.676575799998318,None,367450,001,2024-09-12_15h48.29.461,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-12 15h48.37.843416 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",6,0,3,u,0,1.342689099999916,None,3,0,6,0,14.316032099999575,,14.289504399999714,14.316032099999575,14.316032099999575,15.316982399999688,15.383802500000456,15.415594300000521,15.518006899999818,15.715384900000572,,15.685319199999867,u,0,1.342689099999916,None,367450,001,2024-09-12_15h48.29.461,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-12 15h48.37.843416 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",7,1,3,u,0,1.5170297999993636,None,3,1,7,1,15.715384900000572,,15.68828029999895,15.715384900000572,15.715384900000572,16.716463200000362,16.783073700000386,16.818321499999,16.915250500000184,17.118615400000635,17.149732399999266,17.252901899999415,u,0,1.5170297999993636,None,367450,001,2024-09-12_15h48.29.461,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-12 15h48.37.843416 -0400,
New Gabor Patches/Gabor_90.png,"(100, 100)","(-65, 40)",8,0,4,u,0,1.5913843999987876,None,4,0,8,1,17.28183809999973,,17.255394399999204,17.28183809999973,17.28183809999973,18.30093029999989,18.368071099999725,18.368071099999725,18.50063279999995,18.70040859999972,18.70040859999972,18.900750900000276,u,0,1.5913843999987876,None,367450,001,2024-09-12_15h48.29.461,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-12 15h48.37.843416 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)","(65, 40)",9,1,4,u,0,1.5533610000002227,None,4,1,9,0,18.933597900000677,,18.9025285000007,18.933597900000677,18.933597900000677,19.93617970000014,20.0022857999993,20.034782599999744,20.13708240000051,20.334078100000625,20.36934359999941,20.504388299999846,u,0,1.5533610000002227,None,367450,001,2024-09-12_15h48.29.461,6_9_2024_Invalid_Condition_Right,2024.2.1post4,None,2024-09-12 15h48.37.843416 -0400,
