ImageFile,Position,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,text.started,Fixation_Point.stopped,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_90.png,-100100,0,0,0,u,0,1.5474248000009538,None,0,0,0,1,0.026184800000919495,,0.015261099999406724,0.026184800000919495,0.026184800000919495,1.009430699999939,1.0597097999998368,1.110128899999836,1.2097936999998637,1.4095393999996304,1.4267839999993157,1.580801899999642,u,0,1.5474248000009538,None,967852,001,2024-09-12_15h02.00.946,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.979690876296424,2024-09-12 15h02.04.053613 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)",1,1,0,u,0,1.7258044999998674,None,0,1,1,0,1.5925291999992623,,1.581848899999386,1.5925291999992623,1.5925291999992623,2.5934563000009803,2.6429456999994727,2.6929111999997986,2.7932782000007137,2.992862099999911,2.992862099999911,3.3287127999992663,u,0,1.7258044999998674,None,967852,001,2024-09-12_15h02.00.946,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.979690876296424,2024-09-12 15h02.04.053613 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)",2,0,1,u,0,1.5445292999993399,None,1,0,2,0,3.34309310000026,,3.3297574000007444,3.34309310000026,3.34309310000026,4.342866599999979,4.392824599999585,4.442991800000527,4.542798300000868,4.743027000000438,4.743027000000438,4.895297900000514,u,0,1.5445292999993399,None,967852,001,2024-09-12_15h02.00.946,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.979690876296424,2024-09-12 15h02.04.053613 -0400,
New Gabor Patches/Gabor_90.png,-100100,3,1,1,u,0,1.246691500000452,None,1,1,3,1,4.909771900000123,,4.896365599999626,4.909771900000123,4.909771900000123,5.909679500000493,5.959683499999301,6.009489399999438,6.109661500000584,,,6.162528299999394,u,0,1.246691500000452,None,967852,001,2024-09-12_15h02.00.946,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.979690876296424,2024-09-12 15h02.04.053613 -0400,
New Gabor Patches/Gabor_0.png,"(-100, 100)",4,0,2,,,,,2,0,4,0,6.176190500000303,,6.163713500000085,6.176190500000303,6.176190500000303,7.176380599999902,7.22647169999982,7.276596300000165,7.376315499999691,7.576238499999818,7.576238499999818,,,,,,,,,,,,,
