ImageFile,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,text.started,Fixation_Point.stopped,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_0.png,0,0,0,u,0,2.7138041999987763,None,0,0,0,0,0.012914900000396301,,0.010037100000772625,0.012914900000396301,0.012914900000396301,1.011262900001384,1.0615534000007756,1.1114293999999063,1.2115005000014207,1.4107142000011663,1.4276189000011072,2.729375400000208,u,0,2.7138041999987763,None,629836,001,2024-09-12_14h37.33.545,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.817270203229626,2024-09-12 14h37.37.276515 -0400,
New Gabor Patches/Gabor_90.png,1,1,0,u,0,1.9097137000007933,None,0,1,1,1,2.7436383000003843,,2.7303508000004513,2.7436383000003843,2.7436383000003843,3.7444132000000536,3.7944188000001304,3.8442905000010796,3.9439978000009432,4.143527600001107,4.143527600001107,4.661460100000113,u,0,1.9097137000007933,None,629836,001,2024-09-12_14h37.33.545,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.817270203229626,2024-09-12 14h37.37.276515 -0400,
New Gabor Patches/Gabor_90.png,2,0,1,u,0,1.7317766999985906,None,1,0,2,1,4.677537600000505,,4.6624812000009115,4.677537600000505,4.677537600000505,5.660301400001117,5.710816900000282,5.761208900001293,5.860959700001331,6.0605791000016325,6.0780297000001156,6.412105200000951,u,0,1.7317766999985906,None,629836,001,2024-09-12_14h37.33.545,6_9_2024_Invalid_Condition_Right,2024.2.1post4,59.817270203229626,2024-09-12 14h37.37.276515 -0400,
New Gabor Patches/Gabor_0.png,3,1,1,,,,,1,1,3,0,6.427153800001179,,6.413282100000288,6.427153800001179,6.427153800001179,7.411332200001198,7.461314199999833,7.5118243000015354,7.610519200001363,7.811371600000712,7.827498600001491,,,,,,,,,,,,,
