ImageFile,Position,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,text.started,Fixation_Point.stopped,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_0.png,"(-10, 10)",0,0,0,u,0,2.0439017999997304,None,0,0,0,0,0.030903499999112682,,0.019321300000228803,0.030903499999112682,0.030903499999112682,1.01412689999961,1.0637570999988384,1.1136580999991565,1.2139459999998508,1.4140706999987742,1.4309348999995564,2.084815799998978,u,0,2.0439017999997304,None,037115,001,2024-09-12_14h59.26.390,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.530892243368086,2024-09-12 14h59.29.854943 -0400,
New Gabor Patches/Gabor_90.png,"(10, -10)",1,1,0,u,0,2.168628400000671,None,0,1,1,1,2.0979318999998213,,2.0858592000004137,2.0979318999998213,2.0979318999998213,3.0980392999990727,3.146931199999017,3.1977255000001605,3.2974401999999827,3.4974311999994825,3.4974311999994825,4.28224709999995,u,0,2.168628400000671,None,037115,001,2024-09-12_14h59.26.390,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.530892243368086,2024-09-12 14h59.29.854943 -0400,
New Gabor Patches/Gabor_0.png,"(-10, 10)",2,0,1,u,0,3.6506563000002643,None,1,0,2,0,4.2974037999993016,,4.283256299999266,4.2974037999993016,4.2974037999993016,5.297631999999794,5.34742389999883,5.396979199998896,5.497336599999471,5.696998100000201,5.696998100000201,7.949780299999475,u,0,3.6506563000002643,None,037115,001,2024-09-12_14h59.26.390,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.530892243368086,2024-09-12 14h59.29.854943 -0400,
New Gabor Patches/Gabor_90.png,"(10, -10)",3,1,1,u,0,1.6090985999999248,None,1,1,3,1,7.963750299999447,,7.950876299999436,7.963750299999447,7.963750299999447,8.963948900000105,9.013734500000282,9.063912699999491,9.163908999998966,9.363768899998831,9.363768899998831,9.582141200000478,u,0,1.6090985999999248,None,037115,001,2024-09-12_14h59.26.390,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.530892243368086,2024-09-12 14h59.29.854943 -0400,
New Gabor Patches/Gabor_90.png,"(10, -10)",4,0,2,u,0,1.640942099998938,None,2,0,4,1,9.59720070000003,,9.583230199999889,9.59720070000003,9.59720070000003,10.597100999999384,10.648673300000155,10.697457000000213,10.797166000000288,10.997380200000407,10.997380200000407,11.248537600000418,u,0,1.640942099998938,None,037115,001,2024-09-12_14h59.26.390,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.530892243368086,2024-09-12 14h59.29.854943 -0400,
New Gabor Patches/Gabor_0.png,"(-10, 10)",5,1,2,u,0,2.14634549999937,None,2,1,5,0,11.263905699999668,,11.24963260000004,11.263905699999668,11.263905699999668,12.263518899999326,12.31361029999971,12.364083999998911,12.463808499998777,12.66362780000054,12.66362780000054,13.415715600000112,u,0,2.14634549999937,None,037115,001,2024-09-12_14h59.26.390,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.530892243368086,2024-09-12 14h59.29.854943 -0400,
New Gabor Patches/Gabor_90.png,"(10, -10)",6,0,3,u,0,1.5798526999988098,None,3,0,6,1,13.430849200000011,,13.41681729999982,13.430849200000011,13.430849200000011,14.43058259999998,14.480626399999892,14.530828299999484,14.630523100000573,14.830765400000018,14.830765400000018,15.016738199999963,u,0,1.5798526999988098,None,037115,001,2024-09-12_14h59.26.390,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.530892243368086,2024-09-12 14h59.29.854943 -0400,
New Gabor Patches/Gabor_0.png,"(-10, 10)",7,1,3,,,,,3,1,7,0,15.030497100000503,,15.018105999999534,15.030497100000503,15.030497100000503,16.030395100000533,16.08033230000001,16.13033709999945,16.230643699998836,16.430737799999406,16.430737799999406,,,,,,,,,,,,,
