ImageFile,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Invalid_Condition_Right.started,Fixation_Point.started,key_resp.started,Cue.started,Cue.stopped,New_Stimulus.started,New_Stimulus.stopped,text.started,Fixation_Point.stopped,Invalid_Condition_Right.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
New Gabor Patches/Gabor_90.png,0,0,0,u,0,2.634367700000439,None,0,0,0,1,0.01248949999899196,,0.009643199999118224,0.01248949999899196,0.01248949999899196,1.0085355999999592,1.0590539000004355,1.1093118999997387,1.2090016999991349,1.4090175000001182,1.4259691999995994,2.6614554000007047,u,0,2.634367700000439,None,059617,001,2024-09-12_14h39.24.805,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.058040089883725,2024-09-12 14h39.28.344314 -0400,
New Gabor Patches/Gabor_0.png,1,1,0,u,0,1.8771477999998751,None,0,1,1,0,2.675538499999675,,2.6624398000003566,2.675538499999675,2.675538499999675,3.676541200000429,3.7254059000006237,3.7756931000003533,3.876323099999354,4.075226999999359,4.075226999999359,4.559585900000457,u,0,1.8771477999998751,None,059617,001,2024-09-12_14h39.24.805,6_9_2024_Invalid_Condition_Right,2024.2.1post4,60.058040089883725,2024-09-12 14h39.28.344314 -0400,
New Gabor Patches/Gabor_90.png,2,0,1,,,,,1,0,2,1,4.575641999999789,,4.560637000000497,4.575641999999789,4.575641999999789,5.559278000000631,5.609437499999331,5.659208299999591,5.758962199999587,5.959558799999286,5.975325999999768,,,,,,,,,,,,,
